model,split,accuracy,precision,recall,f1,roc_auc
RandomForest_glcm_texture,test,0.7628205128205128,0.7531380753138075,0.9230769230769231,0.8294930875576036,0.8121904448827525
RandomForest_lbp_texture,test,0.7387820512820513,0.715370018975332,0.9666666666666667,0.822246455834242,0.8402421652421653
RandomForest_global_intensity,test,0.7243589743589743,0.7215447154471545,0.9102564102564102,0.8049886621315193,0.7720195047118125
RandomForest_edge_metrics,test,0.7243589743589743,0.7433035714285714,0.8538461538461538,0.7947494033412887,0.7798816568047336
RandomForest_fft_frequency,test,0.6891025641025641,0.7033195020746889,0.8692307692307693,0.7775229357798165,0.7449594564979181
RandomForest_edge_metrics,val,0.6875,0.6153846153846154,1.0,0.7619047619047619,0.65625
RandomForest_lbp_texture,val,0.6875,0.6153846153846154,1.0,0.7619047619047619,0.828125
RandomForest_glcm_texture,val,0.5625,0.5333333333333333,1.0,0.6956521739130435,0.8515625
RandomForest_fft_frequency,val,0.5,0.5,0.875,0.6363636363636364,0.5859375
RandomForest_global_intensity,val,0.4375,0.4666666666666667,0.875,0.6086956521739131,0.578125
