feature_1,feature_2,abs_corr
edge_count,edge_strength,1.0
edge_density,edge_strength,1.0
edge_density,edge_count,1.0
fft_std,fft_energy,0.9942666623246449
mean,fft_std,0.9763272829019931
mean,fft_energy,0.9760271913599474
median,fft_std,0.97353775481203
median,fft_energy,0.9681141121529873
mean,median,0.9677940395850886
glcm_energy,lbp_8,0.9468710648627915
lbp_1,lbp_9,0.9188842141983403
glcm_contrast,fft_mean,0.8949450885605014
median,skewness,0.8821231446814671
p90,fft_std,0.8654498843775444
lbp_0,lbp_9,0.8566593823306602
lbp_0,lbp_5,0.8519822332342472
mean,skewness,0.8485968753257711
p90,fft_energy,0.845793312606222
edge_density,fft_mean,0.8358245027708867
edge_count,fft_mean,0.8358245027708867
edge_strength,fft_mean,0.835824502770883
lbp_0,lbp_4,0.8258629544205971
skewness,fft_energy,0.8126672938597315
skewness,fft_std,0.8108922235907964
lbp_7,lbp_9,0.804398109322172
lbp_1,lbp_7,0.800609061977369
glcm_homogeneity,lbp_2,0.8004751709790046
lbp_6,lbp_8,0.7968020711627474
lbp_3,lbp_4,0.7871314735789455
skewness,kurtosis,0.7832759621961605
lbp_0,lbp_1,0.7824825203710165
lbp_4,lbp_5,0.7804855372567572
median,p90,0.7594453002361757
lbp_4,lbp_9,0.7591104925621406
mean,p90,0.758182370427269
glcm_energy,lbp_7,0.7450668639117248
std,p10,0.7235049696604339
lbp_2,lbp_5,0.7196260090661988
p10,lbp_8,0.7141309237846661
glcm_homogeneity,lbp_0,0.7059526506933957
lbp_0,lbp_2,0.701076993093211
std,lbp_8,0.6905379099535288
glcm_energy,lbp_6,0.6893079266702125
glcm_homogeneity,edge_count,0.6849459372036106
glcm_homogeneity,edge_density,0.6849459372036106
glcm_homogeneity,edge_strength,0.6849459372036072
std,lbp_6,0.6814155532624324
p10,kurtosis,0.6747425980146811
glcm_contrast,edge_strength,0.6620185718884891
glcm_contrast,edge_density,0.6620185718884888
